id	pronunciation	character	tone	rhymeCategory	meanings
249	례	例	去	霽	법식;관습;전고(典故);보기;본보기;예(例);실례(實例);다(모두);대부분
250	륜	侖	平	元/眞	둥글다;조리를 세우다;순서를 잡다;생각하다;빠지다
251	모	?	平	尤	가지런하다;고르다;힘쓰다;취하다;꾀하다;따르다;벌레 이름
252	미	?	上	紙	어루만지다
253	백	佰	入	陌	일백;백 사람;백 사람의 우두머리
254	사	使	上	紙	하여금;하게 하다;가령;시키다;부리다;좇다;따르다;멋대로 하다
255	사	使	去	?	사신;심부름하다;심부름시키다;심부름꾼;조정에서 파견된 벼슬아치
256	순	?	去	震	재빠르다;빠르다;깊다;외치다;따라 죽다
257	시	侍	去	?	모시다;받들다;귀인을 모시는 사람;기르다;양육하다;기다리다;부탁하다;믿다
258	신	侁	平	眞	걷는 모양;많은 모양
259	양	佯	平	陽	거짓;속임;~한 체하다;헤매다;어정거리다
260	유	侑	去	宥	권하다;돕다;갚다;보답하다;너그럽다;용서하다;앓는 소리
261	의	依	平	微	의지하다;기대다;돕다;믿다;사랑하다;비기다;견주다;나무가 무성한 모양
262	의	依	上	尾	병풍;편하다;편히 지내다;비유하다
263	이	?	平	支	무리;동아리;베풀어 놓다;모시어 놓다
264	이	?	去	?	버금;다음;도움;돕다
265	내	?	去	隊	성(姓)
266	일	佾	入	質	춤 줄(line)
267	전	佺	平	先	신선 이름
268	조	?	平	蕭	방정맞다;경망스럽다;미련하다;생각이 얕다;인정이 없다;박정하다;홀로 걷는 모양;왕래하는 모양;훔치다;도둑질하다
269	요	?	平	蕭	늦추다;걸다;걸치다
270	주	侏	平	虞	난쟁이;광대;배우;동자기둥;무도하다;버릇없다;속이다;거짓말하다
271	주	?	平	尤	속이다
272	질	侄	入	質	어리석다;굳다;단단하다;한 곳에 머무르다;조카
273	차	侘	去	?	실의하다;뽐내다;자랑하다
274	차	?	去	?	재빠르다;빠르다;버금;다음;돕다;번갈아;교대로;미치다
275	치	侈	上	紙	사치하다;사치;거만하다;분수에 넘다;넓다;크다;많다;무절제하다;난잡하다;떠나다;벗어나다
276	칙	?	入	職	조심하다;두려워하다
277	탁	?	入	藥	부탁하다;의지하다
278	통	?	平	東	크다;키가 크다;어리석다;유치하다;아프다;괴롭다;성(姓)
279	동	?	去	送	정성;거짓이 없음
280	패	佩	去	隊	차다;띠나 허리에 매달다;노리개;지니다;몸에 간직하다;마음에 새겨 두다
281	한	?	平	蒸	고을 이름
282	한	?	上	阮	어그러지다;어기다
283	해	?	平	灰	이상하다;기이하다;목이 메다;목이 막히다
284	혁	?	入	職	고요하다;쓸쓸하다
285	형	?	平	靑	이루다;성취하다;거푸집(型)
286	활	?	入	曷	이르다(至);다다르다;모이다;모으다;만나다
287	회	?	平	灰	어정거리다;배회하다;흐리멍텅하다
288	계	係	去	霽	걸리다;관계되다;잇다;묶다
289	광	?	上	養	허둥지둥하다
290	광	?	去	?	원행(遠行)하다;멀리 가다
291	구	?	平	尤	공손하다;정중하다;머리에 이다;입다
292	국	?	入	沃	죄어치다;다그치다;키가 작다
293	량	?	平	陽	잘하다;헤매다;떠돌다
294	려	侶	上	語	짝;벗;벗하다;함께 놀다;승려
295	리	?	去	?	똑똑하다;영리하다
296	리	俚	上	紙	속되다;촌스럽다;부탁하다;의뢰하다;속된 노래;시골
297	면	?	上	銑	힘쓰다;부지런히 일하는 모양;구푸리다;머리를 숙이다
298	부	?	上	?	구푸리다
299	모	侮	上	?	업신여기다;멸시하다;깔보다;얕보다;앓다;병들다
300	보	保	上	皓	지키다;보전하다;편안하게 하다;안심시키다;돕다;거들다;기르다;양육하다;맡기다;보증하다;시중들다;보호하다;살다;머무르다;의지하다;믿다;알다;심부름꾼;반(조합);성채;기저귀;포대기
301	보	?	上	?	돕다
302	부	?	平	虞	사로잡다;포로;벌(罰);가지다
303	빙	?	平	靑	비틀거리다;호협(豪俠)하다;협객
304	사	俟	上	紙	기다리다;기대하다;크다;성하다;떼를 지어 천천히 걷는 모양
305	기	俟	平	支	성(姓)
306	속	俗	入	沃	풍속;풍습;바라다;원하다;잇다;계승하다;보통;범용;속되다;비속하다;세상;세상 사람;출가하지 않은 사람
307	신	信	去	震	믿다;의심하지 않다;진실;성실;분명히 하다;밝히다;알다;표지;증표;부신;따르다;좇다;공경하다;존경하다;지키다;보전하다;맡기다;이틀을 머물다;심부름꾼;사자(使者);소식;편지
308	신	信	平	眞	펴다;말하다;진술하다;몸;신체
309	아	俄	平	歌	갑자기;별안간;기울다;기우는 모양;러시아;높다;높이다
310	오	俉	去	遇	맞이하다
311	용	俑	上	腫	허수아비;우인(偶人);아프다;괴롭다
312	우	?	上	?	얼굴이 크다
313	읍	?	入	緝	밭을 갈다;굳세다;용맹스럽다
314	정	?	上	?	긴 모양;꼿꼿하다;평평하다
315	조	俎	上	語	도마;적대;높은 대
316	좌	?	去/平	箇/歌	욕보이다;편안하다
317	준	俊	去	震	준걸;뛰어나다;걸출하다;크다;높다
318	진	?	去/平	震/眞	동자;어린이;착하다;여자 종
319	초	?	去	嘯	닮다;본뜨다;어여쁘다;어여쁜 모양
320	소	?	平	蕭	거문고를 타다;거문고 타는 소리
321	촉	促	入	沃	재촉하다;독촉하다;다가오다;급하다;이르다(至);궁지에 빠지다;좁다;빠르다;신속하다
322	착	促	入	覺	악착하다
323	침	侵	平	侵	침노하다;범하다;잠식하다;습격하다;업습하다;다치다;상하다;법을 어기다;흉년이 들다
324	침	侵	上	寢	초라하다;볼품없다;키가 작다
325	탈	?	入	曷	추하다;못생기다;합당하다;맞다;손쉽다;간편하다;벗다;벗어나다;가볍다;경박하다
326	편	便	平	先	편하다;형편이 좋다;소식;편지;편안하다;쉬다;익다;익숙하다;오줌;똥;똥오줌;곧;문득
327	편	便	去	霰	아첨하다;알랑거리다;구분하다;가르다
328	현	俔	上	銑	염탐하다;염탐꾼;간첩;풍향계;두려워하다
329	견	俔	去	霰	비유하다;비유
330	협	俠	入	葉	호협하다;협기가 있다;가볍다;경쾌하다;젊다;제멋대로 굴다;방자하다;미인;쾌하다;싱쾌하다;끼다;끼우다
331	협	俠	入	洽	곁;옆;끼고 서다
332	후	侯	平	尤	과녁;제후;임금;후작;왕성 밖 500리의 지역;찾아뵙다;안부를 여쭈다;이;이에;어찌;어느;무엇
333	희	?	平	微	소송하다;감동하다
334	개	個	去	箇	낱;개(개수)
335	거	倨	去	御	거만하다;뽐내다;책상다리하다;무릎을 꿇고 않다;멍하다;아무런 생각이 없다;곱자
336	경	倞	去	敬	굳세다;강하다;다투다;겨루다
337	량	倞	去	?/養	밝다;찾다;구하다
338	공	?	平	東	어리석다;어리석음
339	공	?	上	董	바쁘다;일에 몰리다
340	공	?	去	送	괴롭다;곤궁하다
341	관	?	去/平	諫/寒	수레몰이;벼슬;기생
342	구	俱	平	虞	함께;다(all);모두;함께 하다;같이 가다;갖추다;골고루 있다;같다;동일하다
343	굴	?	入	物	고집이 세다;고집이 센 모양;몸을 일으키다;입신하다;굽다;굽히다
344	권	倦	去	霰	게으르다;싫증나다;피로하다;고달프다;걸터앉다
345	기	?	平	支	탈;가면;속이다;속다
346	담	?	平	覃	고요하다;편안하다
347	담	?	去	勘	움직이다;두려워하다;재물로써 속죄하다
348	당	?	上	養	혹시;아마;갑자기 멈추는 모양
349	상	?	平	陽	어정거리다;배회하다
350	도	倒	上	皓	넘어지다;자빠지다;죽다
351	도	倒	去	號	거꾸로;거꾸로 하다;거스르다;반역하다
352	라	?	上	?	알몸;발가숭이;벌거벗다
353	과	?	上	?	좁다;넓지 않다
354	량	倆	去/上	?/養	재주;솜씨;재능;둘;두 사람
355	륜	倫	平	眞	인륜;도리;무리;또래;순서;차례;나뭇결
356	문	們	平	元/眞	들(복수);무리
357	방	倣	上	養	본뜨다;흉내 내다;준거하다;의지하다
358	배	倍	上	賄	곱;갑절;등지다;배반하다;더하다;증가하다;외다;암송하다;점점 더;더욱 더
359	배	俳	平	佳	광대;배우;장난;농담;익살;쇠퇴하다
360	배	俳	平	灰	어정거리다;배회하다
361	병	?	去	敬	아우르다;나란하다;다투다;경쟁하다;버리다
362	봉	俸	去	宋	녹(祿);봉급;급료
363	부	俯	上	?	부푸리다;구부리다;숨다;눕다
364	비	?	上	紙	더하다;보태다;시키다;~하게 하다;좇다;따르다
365	비	?	去	霽	흘겨보다;성가퀴(女牆)
366	비	?	去	未	등지다;멀리하다;지다;패배하다
367	사	?	去	?	찌르다;칼을 꽂다;세우다;서다
368	수	修	平	尤	닦다;익히다;배우고 연구하다;기르다;다스리다;다듬어 정리하다;다루어 처리하다;고치다;손질하다;꾸미다;책을 만들다;행하다;갖추다;베풀다;길다;뛰어나다;뛰어난 사람
369	수	?	平	支	무겁다;사람 이름
370	숙	?	入	屋	비롯하다;비로소;정돈하다;정리하다;두텁다;맑다;착하다
371	척	?	入	錫	뛰어나다
372	숙	?	入	屋	갑자기;문득;매우 짧은 시간;개가 재빨리 내닫는 모양;빛;빛나다
373	쉬	?	去	隊	버금;다음;수령(守令)
374	졸	?	入	月	백 사람;갑자기
375	엄	俺	去	?	나;자신크다;어리석다
376	예	倪	平	齊	어린이;어리고 약한 모양;흘겨보다;곁눈질하다;가(edge);끝더하다;보태다;성가퀴
377	왜	倭	平	歌	왜국;일본
378	위	倭	平	支	두르다;빙 돌아서 먼 모양;순하다;순한 모양;추하다;보기 흉하다
379	의	倚	上	紙	의지하다;기대다;치우치다;쏠리다;인하다;말미암다;가락을 맞추다;맡기다
380	기	倚	平	支	기이하다;이상야릇하다;불구(不具)
381	종	倧	平	冬	상고의 신인(神人);신인
382	차	借	去	?	빌리다;빌려 쓰다;빌려 주다;돕다;가령;설령
383	창	倉	平	陽	곳집;창고;옥(獄);옥사;내장;갑자기;푸르다
384	창	倉	去	?	슬퍼하다
385	창	倡	平	陽	광대;배우;기생;미치다;미치광이
386	창	倡	去	?	창도하다;외치다;성하다;창성하다
387	창	?	平	陽	미치다;갈팡질팡하다;넘어지다;자빠지다;귀신 이름
388	창	?	平	庚	홀로 서다;홀로 서 있는 모양
389	창	漲	去	敬	길을 잃다
390	척	倜	入	錫	대범하다;얽매이지 않다;뛰어나다;빼어난 모양;높고 먼 모양;소원한 모양
391	천	?	去	霰	예쁘다;남자의 미칭
392	청	?	去	敬	사위;빌리다;고용하다
393	천	?	上	銑	엷다;얇다;갑옷을 입지 않다
394	첩	?	入	葉	빠르다;민첩하다;굳세다;연관(女官) 이름
395	치	値	去	?	값;값하다;값어치가 있다;가지다;지니다;만나다;당하다;어떤 일을 겪다;두다
396	탁	倬	入	覺	크다;높고 크다;밝다;두드러지다;명백하다;뛰어나다
397	표	俵	去	嘯	흩다;나누어 주다
398	행	倖	上	梗	요행;간사하다;아첨하다;괴다;사랑하다
399	혼	?	上	阮	흐릿하다;흐릿한 모양;트이지 않은 모양
400	후	候	去	宥	묻다;안부를 묻다;시중들다;기다리다;맞이하다;살피다;정탐하다;척후(斥候);망루;점치다;진찰하다;철(절기);때;시기;조짐;징조;정도(程度)
401	휴	?	平	支	추하다;용모가 아름답지 못하다
402	가	假	上	馬	거짓;가짜;임시적;빌리다;빌려 주다;너그럽다;용서하다;가령;만일;크다
403	하	假	平	麻	끝나다;끝내다;죽다;멀리;멀다
404	가	假	去	?	바꾸다;교환하다;겨를;여가;휴일;아름답다;좋다;타다;거마(車馬)에 오르다
405	격	假	入	陌	이르다(至);도달하다
406	건	健	去	願	튼튼하다;굳세다;강하다;교만하다;거만하게 굴다;탐하다;욕심을 부리다;매우;심히;병사;군사
407	건	健	上	銑	어렵게 여기다;어려워하다;들다;올리다
408	게	偈	去	霽	쉬다;휴식하다;게송
409	걸	偈	入	屑	굳센 모양;용감한 모양;튼튼하다;건장하다;빠르다;힘쓰는 모양
410	면	?	去	霰	향하다;마주 대하다;등지다;어기다
411	배	?	去	隊	버리다;내버려 두다;등을 돌리다;등지다
412	부	?	上	有	본뜨다;준거하여 따르다;자랑하다;자부하다
413	설	?	入	屑	맑다;깨끗하다;사람 이름
414	시	?	平	支	굳세다;힘세다;똑똑하다;재능이 있다;선(善)을 권하다
415	악	?	入	覺	악착하다;신선 이름
416	언	偃	上	銑	쓰러지다;넘어지다;엎어지다;드리워지다;나직하다;쉬다;그만두다;숨다;숨기다;괴로워하다;실망하다;뒷간;변소;편안하다;방죽;보(洑);교만하다
417	엽	?	入	葉	가볍다;아름답다;용모가 아름다운 모양
418	협	?	入	葉	천하다;낮다;억누르다
419	외	?	平	灰	어렴풋하다;분명하지 않다;친압하다;친숙해지다;가까워지다;가까이하다
420	요	?	上	篠	낭창거리다;단아하고 얌전한 모양
421	우	偶	上	有	짝;부부;짝수;벗;무리;또래;인형;허수아비;뜻하지 아니하게;때때로
422	우	?	上	?	혼자 걷다;혼자 걷는 모양;웅크리는 모양;삼가는 모양
423	위	偉	上	尾	훌륭하다;뛰어나다;크다;아름답다;성하다;성대하다;기이하다;이상하다
424	의	?	上	尾	울다;탄식하다;우는 소리;탄식하는 소리
425	정	停	平	靑	머무르다;멎다;정해지다;고정하다;밀리다;막히다;지체하다;쉬다;휴식하다;그만두다;중지하다;말리다;만류하다
426	정	偵	平	庚	정탐하다;엿보다;염탐꾼;간첩;묻다;점치다
427	종	?	去	宋	불우한 모양;잘 걷지 못하는 모양
428	동	?	平	東	아이;젊은이
429	주	做	去	箇	짓다;만들다
430	측	側	入	職	곁;가까이;옆;가;언저리;기울다;치우치다;쏠리다;기울이다;귀를 기울이다;숨다;어렴풋이;아련히;혼자;옆으로 돌리다;외면하다;예에 어긋나는 행위;천하다;낮다;다가오다;아파하다;슬퍼하다
431	치	?	上	紙	가지런하지 않다;정제되어 있지 않다
432	투	偸	平	尤	훔치다;도둑질하다;가볍다;경박하다;구차하다;탐내다
433	편	偏	平	先	치우치다;기울다;반(半);절반;한쪽;한편;시골;반신불수;하나;한 사람;무리;동아리;동류;변(邊);조(組);보좌;오로지;나부끼다;뜻밖에;속이다
434	핍	?	入	職	다가오다;가까이 닥치다;배가 부르다;행전;각반;
435	복	?	入	屋	나라 이름
436	해	偕	平	佳	함께;다 같이;굳세다;굳세고 씩씩한 모양;함께 있다;같다;같게 하다;알맞다;정돈되다
437	황	?	平	陽	노닐다;거닐다;겨를;짬
438	가	?	平	麻	가구;기물
439	각	?	入	覺	성(姓);사람 이름
440	걸	傑	入	屑	뛰어나다;출중하다;뛰어난 사람;훌륭한 사람;빼어나게 패다;크다;굴하지 아니하다
441	겸	?	去	?	시중들다;따르다;시중꾼;종자(從者)
442	괴	傀	平	灰	크다;큰 모양;위대한 모양;성하다;좋다;아름답다;귀신;재앙;괴물;하늘;하늘의 모양;홀로 있는 모양
443	괴	傀	上	賄	꼭두각시
444	회	傀	平	佳	크다;크게 깨달은 모양
445	구	?	去	宥	어리석다;무지한 모양
446	항	?	上	講	아첨하지 않다;태도가 뻣뻣하다
447	방	傍	平	陽	곁;옆;가까이;방(旁: 한자의 오른쪽 부분)
448	방	傍	去	?	기대다;모시다;좌우에서 시중들다
449	팽	傍	平	庚	마지 못하다;부득이한 모양;수레의 소리
450	벌	?	入	月	배반하다;치다;토벌하다
451	부	傅	去	遇	스승;사부;좁다;시중들다;붙다;부착하다;가까워지다;등록하다;등기하다;증거 문서;부절(符節)
452	부	傅	平	虞	펴다;베풀다
453	비	備	去	?	갖추다;마련하다;준비하다;간직하다;가지다;구유하다;갖추어지다;이지러짐이 없다;완전하다;차다;가득하다;있다;준비;마련;도구;경계;방비;모두;다;자세히;삼가다;옷
454	사	?	平	歌	취하여 춤추는 모양
455	소	?	去	遇	향하다;지키다;분수를 지키다
456	요	?	平	蕭	부역;부리다;느슨하다;느릿하다
457	용	?	平/上	冬/腫	불안하다;근심스럽다;여관(女官) 이름;익숙한 모양
458	전	?	平	先	거꾸로 되다;어긋나다
459	창	?	平	庚	천하다;비천하다;촌뜨기
460	창	?	平	陽	문란하다;문란한 모양
461	태	?	去	隊	모양;상태
462	혜	?	平	齊	묶다;얽다;매다;동북쪽 오랑캐 이름
463	혜	?	上	薺	기다리다
464	효	?	去	效	본받다;모방하다;배우;닮게 하다;본뜨다;준하다;기준으로 삼고 따르다;가르치가;지도하다
465	경	傾	平	庚	기울다;기울이다;비스듬하다;뒤집히다;번복되다;눕다;낮다;낮아지다;높다;오르다;올라가다;마음을 기울이다;따르다;쏠리다;귀를 쫑그리다;엇걸리다;위태롭다;상하다;능가하다;녹이다;겨루다;다하다
466	구	?	上	?	구부리다;허리를 굽히다;곱사등이;꼽추;공경하는 모양;삼가는 모양;불쌍히 여기다
467	근	僅	去	震	겨우;간신히;조금;약간;거의;대부분;가깝다
468	루	?	平	尤	구부리다;굽히다;곱사등이;꼽추;재빨리 움직이다;민첩하다;공경하는 모양;삼가는 모양
469	륙	?	入	屋	욕보이다;창피를 주다;죽이다
470	류	?	去	宥	느리다;행동이 느린 모양;병(病)
471	만	?	去	諫	얕보다;업신여기다;게으름 피우다;방심하다;어지럽히다;더럽히다
472	병	?	上	梗	물리치다;내치다;자질구레한 모양
473	병	?	去	敬	초라하다;초라한 거처;미천한 생활;벽지(僻地)
474	사	?	上	馬	약다;약삭빠르다;인정이 없다;불인(不仁)하다;어리석다
475	상	傷	平	陽	상처;다치다;상하다;닿다;침범하다;이지러지다;부족하다;앓다;괴롭히다;고통을 주다;패배하다;무찌르다;해치다;비난하다;헐뜯다;생각하다;걱정하다;마음 아파하다;가엽게 여기다;죽음을 슬퍼하다;상제(喪祭)
476	선	僊	平	先	춤추다;춤추는 모양;선인(仙人);불로장생 하는 사람
477	소	?	上	巧	작다;긴 모양
478	언	?	平	先	고을 이름(지금의 하남성);나라 니름;성(姓)
479	언	?	去	願	에누리;에누리하다
480	오	傲	去	號	거만하다;뽐내다;업신여기다;깔보다;제멋대로;시끄럽다;떠들석하다
481	용	傭	平	冬	품팔이;품팔이하다;품팔이꾼;임금(賃金)
482	종	傭	平	冬	고르다;공평하다;쓰다;짓다
483	장	?	平	陽	놀라다;놀라고 두려워하는 모양;시숙(媤叔)
484	전	傳	平	先	전하다;전해지다;수여하다;양위하다;잇다;이어지다;후세에 남기다;퍼지다;퍼뜨리다;구전하다;말하다;서술하다;보내다;옮기다;옮아가다;통하다;붙잡다;지극하다;성(姓)
485	전	傳	去	霰	역(驛);역참;역의 거마(車馬);객사;여인숙;부신(符信);경서의 주해;고서;고대의 기록;전기(傳記)
486	제	?	去	霽	묵다;머물다
487	채	債	去	卦	빚;빌리다;빌려준 금품
488	첨	僉	平	鹽	다;모두;여러;많은 사람이 함께 말하다;고르다;가려 뽑다;벼슬 이름
489	총	?	上/去	董/送	바쁘다;조급하다;괴로워하다;마음이 어지러운 모양
490	최	催	平	灰	재촉하다;독촉하다;죄어치다;싹트다;징조가 보이다;막다;방해하다;저지하다;열다;베풀다
491	표	?	去/平	嘯/蕭	가볍다;경박하다;날래다;민첩하다;성질이 경박하고 사납다;거칠다
492	결	?	入	屑	햇무리
493	굴	?	入	質	미치다;미치광이;기괴한 모양
494	교	僑	平	蕭	높다;타관살이하다;임시 거처;잠시 머물다
495	군	?	上	軫	얽매이다;사로잡힌 모양;등이 굽다;꼽추
496	기	?	平	支	취하여 춤추는 모양;비틀거리며 춤추는 모양
497	동	?	平	東	아이;젊은이;하인;종;두려워하며 삼가는 모양;완고하다;어리석다;시세에 어둡다
498	료	僚	平	蕭	동료;벼슬아치;관리
499	료	僚	上	篠	예쁘다;예쁜 모양;아름다운 모양
500	복	僕	入	沃	종;하인;마부;저(자신의 비칭);무리;벗;동아리;패거리;붙다;따르다;따라붙다;관리하다;주관하다;숨기다;감추다;번거롭다;귀찮다
